asset_id,market_id,acquisition_date,equipment_class,oec
17891,9,11/1/2017,Dirt,"185,400"
17751,2,11/1/2017,Aerial,"151,261"
6654,9,1/1/2017,Aerial,"149,029"
4058,1,1/1/2016,Aerial,"147,600"
5469,6877,1/1/2016,Dirt,"144,720"
5459,9,1/1/2016,Dirt,"144,720"
7933,9,3/1/2017,Dirt,"141,120"
7932,9,3/1/2017,Dirt,"141,120"
18569,9,12/1/2017,Aerial,"139,736"
13903,9,9/1/2017,Dirt,"133,920"
16701,8606,11/1/2017,Dirt,"133,920"
7351,3,2/1/2017,Aerial,"132,851"
6970,4,1/1/2017,Aerial,"132,851"
13360,8,9/1/2017,Aerial,"132,851"
18480,5,12/1/2017,Aerial,"130,356"
19042,8,12/1/2017,Aerial,"130,356"
18729,7329,12/1/2017,Aerial,"130,356"
7765,5,2/1/2017,Aerial,"130,356"
17511,9,11/1/2017,Dirt,"129,600"
15971,9,10/1/2017,Dirt,"129,600"
17372,9,11/1/2017,Dirt,"129,600"
6847,7669,1/1/2017,Aerial,"121,120"
4010,1,1/1/2016,Aerial,"114,435"
528,9,1/1/2016,Aerial,"114,435"
13907,9,10/1/2017,Dirt,"111,600"
13667,8,9/1/2017,Dirt,"111,600"
6112,3,1/1/2016,Aerial,"111,240"
168,8,1/1/2016,Aerial,"111,240"
8039,9,4/1/2017,Dirt,"108,000"
13751,8,9/1/2017,Dirt,"106,906"
16992,9,11/1/2017,Dirt,"106,546"
2768,9,1/1/2016,Dirt,"106,428"
13636,8,9/1/2017,Dirt,"101,016"
14221,8,10/1/2017,Dirt,"100,080"
5005,3,1/1/2016,Aerial,"99,324"
8526,9,4/1/2017,Dirt,"98,911"
5484,9,1/1/2016,Dirt,"98,752"
5016,9,1/1/2016,Dirt,"98,752"
6346,5,1/1/2016,Dirt,"98,752"
5249,9,1/1/2016,Dirt,"98,752"
6364,9,1/1/2016,Dirt,"98,752"
5476,5,1/1/2016,Dirt,"98,752"
6194,9,1/1/2016,Dirt,"98,752"
5157,9,1/1/2016,Dirt,"98,752"
8519,9,4/1/2017,Dirt,"98,515"
5885,9,1/1/2016,Aerial,"98,427"
5979,3,1/1/2016,Aerial,"98,427"
7776,5,2/1/2017,Aerial,"97,348"
8089,4,3/1/2017,Aerial,"97,348"
8026,9,3/1/2017,Aerial,"97,348"
9161,9,4/1/2017,Aerial,"97,348"
8393,5,3/1/2017,Aerial,"97,348"
17651,7522,11/1/2017,Aerial,"96,580"
17768,10744,11/1/2017,Aerial,"96,580"
17641,9,11/1/2017,Aerial,"96,580"
13646,2,9/1/2017,Aerial,"95,869"
8941,7669,4/1/2017,Aerial,"95,869"
9095,9,4/1/2017,Aerial,"95,869"
8337,2,3/1/2017,Aerial,"95,869"
16233,1,10/1/2017,Aerial,"95,869"
9009,9,4/1/2017,Aerial,"95,869"
8896,6877,4/1/2017,Aerial,"95,869"
8691,10744,4/1/2017,Aerial,"95,869"
8457,2,3/1/2017,Aerial,"95,869"
9264,11007,4/1/2017,Aerial,"95,869"
8341,2,3/1/2017,Aerial,"95,869"
8170,7522,3/1/2017,Aerial,"95,869"
8521,6,3/1/2017,Aerial,"95,869"
7988,6877,2/1/2017,Aerial,"95,869"
16592,2,10/1/2017,Aerial,"95,869"
7775,8632,2/1/2017,Aerial,"95,868"
7627,9,2/1/2017,Aerial,"95,868"
7798,6877,2/1/2017,Aerial,"95,868"
7532,9,2/1/2017,Aerial,"95,868"
7531,4,2/1/2017,Aerial,"95,868"
7523,4,2/1/2017,Aerial,"95,868"
7714,3,2/1/2017,Aerial,"95,868"
7873,1,3/1/2017,Aerial,"95,868"
7726,9,2/1/2017,Aerial,"95,868"
2989,8,1/1/2016,Dirt,"94,007"
13778,2,9/1/2017,Aerial,"92,105"
14146,1,9/1/2017,Aerial,"92,091"
13813,8,9/1/2017,Aerial,"92,091"
13834,9,9/1/2017,Aerial,"92,091"
14099,3,9/1/2017,Aerial,"92,091"
13814,7329,9/1/2017,Aerial,"92,091"
13735,2,9/1/2017,Aerial,"92,091"
8015,6,3/1/2017,Aerial,"92,037"
12312,6877,8/1/2017,Aerial,"92,037"
7955,2,3/1/2017,Aerial,"92,037"
8673,2,4/1/2017,Aerial,"92,037"
9094,8,4/1/2017,Aerial,"92,037"
8102,8,3/1/2017,Aerial,"92,037"
8226,2,3/1/2017,Aerial,"92,037"
9421,5,5/1/2017,Aerial,"92,037"
13158,8,8/1/2017,Aerial,"92,037"
7986,4,2/1/2017,Aerial,"92,037"
7899,3,3/1/2017,Aerial,"92,037"
8107,8,3/1/2017,Aerial,"92,037"
8527,7522,4/1/2017,Aerial,"92,037"
7916,3,2/1/2017,Aerial,"92,037"
8847,1,4/1/2017,Aerial,"92,037"
8127,8,3/1/2017,Aerial,"92,037"
8972,9,4/1/2017,Aerial,"92,037"
7826,2,3/1/2017,Aerial,"92,037"
7496,3,2/1/2017,Aerial,"92,037"
7918,6877,3/1/2017,Aerial,"92,037"
7778,4,2/1/2017,Aerial,"92,037"
7651,5,2/1/2017,Aerial,"92,037"
7725,8632,2/1/2017,Aerial,"92,037"
7917,8,3/1/2017,Aerial,"92,037"
7655,9,2/1/2017,Aerial,"92,037"
6796,3,1/1/2017,Aerial,"91,717"
16521,1,10/1/2017,Aerial,"91,398"
10592,6877,7/1/2017,Aerial,"91,398"
13945,8,10/1/2017,Aerial,"91,398"
9567,2,5/1/2017,Aerial,"91,398"
10781,8135,8/1/2017,Aerial,"90,399"
10888,9,8/1/2017,Aerial,"90,399"
10887,9,8/1/2017,Aerial,"90,399"
